A,Ca,Ce,D,I,V,class,project
0.4,7.0,8.0,0.07,0.53,1.0,org.apache.commons.math3.analysis.differentiation.DSCompiler,math
0.4,7.0,8.0,0.07,0.53,1.0,org.apache.commons.math3.analysis.differentiation.DerivativeStructure,math
0.4,7.0,8.0,0.07,0.53,1.0,org.apache.commons.math3.analysis.differentiation.DerivativeStructure$1,math
0.4,7.0,8.0,0.07,0.53,1.0,org.apache.commons.math3.analysis.differentiation.DerivativeStructure$DataTransferObject,math
0.4,7.0,8.0,0.07,0.53,1.0,org.apache.commons.math3.analysis.differentiation.FiniteDifferencesDifferentiator,math
0.4,7.0,8.0,0.07,0.53,1.0,org.apache.commons.math3.analysis.differentiation.FiniteDifferencesDifferentiator$1,math
0.4,7.0,8.0,0.07,0.53,1.0,org.apache.commons.math3.analysis.differentiation.FiniteDifferencesDifferentiator$2,math
0.4,7.0,8.0,0.07,0.53,1.0,org.apache.commons.math3.analysis.differentiation.FiniteDifferencesDifferentiator$3,math
0.4,7.0,8.0,0.07,0.53,1.0,org.apache.commons.math3.analysis.differentiation.GradientFunction,math
0.4,7.0,8.0,0.07,0.53,1.0,org.apache.commons.math3.analysis.differentiation.JacobianFunction,math
0.4,7.0,8.0,0.07,0.53,1.0,org.apache.commons.math3.analysis.differentiation.SparseGradient,math
0.4,7.0,8.0,0.07,0.53,1.0,org.apache.commons.math3.analysis.differentiation.SparseGradient$1,math
0.0,9.0,6.0,0.6,0.4,1.0,org.apache.commons.math3.analysis.function.Abs,math
0.0,9.0,6.0,0.6,0.4,1.0,org.apache.commons.math3.analysis.function.Acos,math
0.0,9.0,6.0,0.6,0.4,1.0,org.apache.commons.math3.analysis.function.Acosh,math
0.0,9.0,6.0,0.6,0.4,1.0,org.apache.commons.math3.analysis.function.Add,math
0.0,9.0,6.0,0.6,0.4,1.0,org.apache.commons.math3.analysis.function.Asin,math
0.0,9.0,6.0,0.6,0.4,1.0,org.apache.commons.math3.analysis.function.Asinh,math
0.0,9.0,6.0,0.6,0.4,1.0,org.apache.commons.math3.analysis.function.Atan,math
0.0,9.0,6.0,0.6,0.4,1.0,org.apache.commons.math3.analysis.function.Atan2,math
0.0,9.0,6.0,0.6,0.4,1.0,org.apache.commons.math3.analysis.function.Atanh,math
0.0,9.0,6.0,0.6,0.4,1.0,org.apache.commons.math3.analysis.function.Cbrt,math
0.0,9.0,6.0,0.6,0.4,1.0,org.apache.commons.math3.analysis.function.Ceil,math
0.0,9.0,6.0,0.6,0.4,1.0,org.apache.commons.math3.analysis.function.Constant,math
0.0,9.0,6.0,0.6,0.4,1.0,org.apache.commons.math3.analysis.function.Cos,math
0.0,9.0,6.0,0.6,0.4,1.0,org.apache.commons.math3.analysis.function.Cosh,math
0.0,9.0,6.0,0.6,0.4,1.0,org.apache.commons.math3.analysis.function.Divide,math
0.0,9.0,6.0,0.6,0.4,1.0,org.apache.commons.math3.analysis.function.Exp,math
0.0,9.0,6.0,0.6,0.4,1.0,org.apache.commons.math3.analysis.function.Expm1,math
0.0,9.0,6.0,0.6,0.4,1.0,org.apache.commons.math3.analysis.function.Floor,math
0.0,9.0,6.0,0.6,0.4,1.0,org.apache.commons.math3.analysis.function.Gaussian,math
0.0,9.0,6.0,0.6,0.4,1.0,org.apache.commons.math3.analysis.function.Gaussian$Parametric,math
0.0,9.0,6.0,0.6,0.4,1.0,org.apache.commons.math3.analysis.function.HarmonicOscillator,math
0.0,9.0,6.0,0.6,0.4,1.0,org.apache.commons.math3.analysis.function.HarmonicOscillator$Parametric,math
0.0,9.0,6.0,0.6,0.4,1.0,org.apache.commons.math3.analysis.function.Identity,math
0.0,9.0,6.0,0.6,0.4,1.0,org.apache.commons.math3.analysis.function.Inverse,math
0.0,9.0,6.0,0.6,0.4,1.0,org.apache.commons.math3.analysis.function.Log,math
0.0,9.0,6.0,0.6,0.4,1.0,org.apache.commons.math3.analysis.function.Log10,math
0.0,9.0,6.0,0.6,0.4,1.0,org.apache.commons.math3.analysis.function.Log1p,math
0.0,9.0,6.0,0.6,0.4,1.0,org.apache.commons.math3.analysis.function.Logistic,math
0.0,9.0,6.0,0.6,0.4,1.0,org.apache.commons.math3.analysis.function.Logistic$Parametric,math
0.0,9.0,6.0,0.6,0.4,1.0,org.apache.commons.math3.analysis.function.Logit,math
0.0,9.0,6.0,0.6,0.4,1.0,org.apache.commons.math3.analysis.function.Logit$Parametric,math
0.0,9.0,6.0,0.6,0.4,1.0,org.apache.commons.math3.analysis.function.Max,math
0.0,9.0,6.0,0.6,0.4,1.0,org.apache.commons.math3.analysis.function.Min,math
0.0,9.0,6.0,0.6,0.4,1.0,org.apache.commons.math3.analysis.function.Minus,math
0.0,9.0,6.0,0.6,0.4,1.0,org.apache.commons.math3.analysis.function.Multiply,math
0.0,9.0,6.0,0.6,0.4,1.0,org.apache.commons.math3.analysis.function.Pow,math
0.0,9.0,6.0,0.6,0.4,1.0,org.apache.commons.math3.analysis.function.Power,math
0.0,9.0,6.0,0.6,0.4,1.0,org.apache.commons.math3.analysis.function.Rint,math
0.0,9.0,6.0,0.6,0.4,1.0,org.apache.commons.math3.analysis.function.Sigmoid,math
0.0,9.0,6.0,0.6,0.4,1.0,org.apache.commons.math3.analysis.function.Sigmoid$Parametric,math
0.0,9.0,6.0,0.6,0.4,1.0,org.apache.commons.math3.analysis.function.Signum,math
0.0,9.0,6.0,0.6,0.4,1.0,org.apache.commons.math3.analysis.function.Sin,math
0.0,9.0,6.0,0.6,0.4,1.0,org.apache.commons.math3.analysis.function.Sinc,math
0.0,9.0,6.0,0.6,0.4,1.0,org.apache.commons.math3.analysis.function.Sinh,math
0.0,9.0,6.0,0.6,0.4,1.0,org.apache.commons.math3.analysis.function.Sqrt,math
0.0,9.0,6.0,0.6,0.4,1.0,org.apache.commons.math3.analysis.function.StepFunction,math
0.0,9.0,6.0,0.6,0.4,1.0,org.apache.commons.math3.analysis.function.Subtract,math
0.0,9.0,6.0,0.6,0.4,1.0,org.apache.commons.math3.analysis.function.Tan,math
0.0,9.0,6.0,0.6,0.4,1.0,org.apache.commons.math3.analysis.function.Tanh,math
0.0,9.0,6.0,0.6,0.4,1.0,org.apache.commons.math3.analysis.function.Ulp,math
0.22,0.0,7.0,0.22,1.0,1.0,org.apache.commons.math3.analysis.integration.BaseAbstractUnivariateIntegrator,math
0.22,0.0,7.0,0.22,1.0,1.0,org.apache.commons.math3.analysis.integration.UnivariateIntegrator,math
0.22,0.0,7.0,0.22,1.0,1.0,org.apache.commons.math3.analysis.integration.IterativeLegendreGaussIntegrator,math
0.22,0.0,7.0,0.22,1.0,1.0,org.apache.commons.math3.analysis.integration.IterativeLegendreGaussIntegrator$1,math
0.22,0.0,7.0,0.22,1.0,1.0,org.apache.commons.math3.analysis.integration.LegendreGaussIntegrator,math
0.22,0.0,7.0,0.22,1.0,1.0,org.apache.commons.math3.analysis.integration.MidPointIntegrator,math
0.22,0.0,7.0,0.22,1.0,1.0,org.apache.commons.math3.analysis.integration.RombergIntegrator,math
0.22,0.0,7.0,0.22,1.0,1.0,org.apache.commons.math3.analysis.integration.SimpsonIntegrator,math
0.22,0.0,7.0,0.22,1.0,1.0,org.apache.commons.math3.analysis.integration.TrapezoidIntegrator,math
0.14,1.0,7.0,0.02,0.88,1.0,org.apache.commons.math3.analysis.integration.gauss.BaseRuleFactory,math
0.14,1.0,7.0,0.02,0.88,1.0,org.apache.commons.math3.analysis.integration.gauss.GaussIntegrator,math
0.14,1.0,7.0,0.02,0.88,1.0,org.apache.commons.math3.analysis.integration.gauss.GaussIntegratorFactory,math
0.14,1.0,7.0,0.02,0.88,1.0,org.apache.commons.math3.analysis.integration.gauss.HermiteRuleFactory,math
0.14,1.0,7.0,0.02,0.88,1.0,org.apache.commons.math3.analysis.integration.gauss.LegendreHighPrecisionRuleFactory,math
0.14,1.0,7.0,0.02,0.88,1.0,org.apache.commons.math3.analysis.integration.gauss.LegendreRuleFactory,math
0.14,1.0,7.0,0.02,0.88,1.0,org.apache.commons.math3.analysis.integration.gauss.SymmetricGaussIntegrator,math
0.1,1.0,15.0,0.04,0.94,1.0,org.apache.commons.math3.analysis.interpolation.BivariateGridInterpolator,math
0.1,1.0,15.0,0.04,0.94,1.0,org.apache.commons.math3.analysis.interpolation.MultivariateInterpolator,math
0.1,1.0,15.0,0.04,0.94,1.0,org.apache.commons.math3.analysis.interpolation.TrivariateGridInterpolator,math
0.1,1.0,15.0,0.04,0.94,1.0,org.apache.commons.math3.analysis.interpolation.UnivariateInterpolator,math
0.1,1.0,15.0,0.04,0.94,1.0,org.apache.commons.math3.analysis.interpolation.AkimaSplineInterpolator,math
0.1,1.0,15.0,0.04,0.94,1.0,org.apache.commons.math3.analysis.interpolation.BicubicFunction,math
0.1,1.0,15.0,0.04,0.94,1.0,org.apache.commons.math3.analysis.interpolation.BicubicInterpolatingFunction,math
0.1,1.0,15.0,0.04,0.94,1.0,org.apache.commons.math3.analysis.interpolation.BicubicInterpolator,math
0.1,1.0,15.0,0.04,0.94,1.0,org.apache.commons.math3.analysis.interpolation.BicubicInterpolator$1,math
0.1,1.0,15.0,0.04,0.94,1.0,org.apache.commons.math3.analysis.interpolation.BicubicSplineFunction,math
0.1,1.0,15.0,0.04,0.94,1.0,org.apache.commons.math3.analysis.interpolation.BicubicSplineFunction$1,math
0.1,1.0,15.0,0.04,0.94,1.0,org.apache.commons.math3.analysis.interpolation.BicubicSplineFunction$2,math
0.1,1.0,15.0,0.04,0.94,1.0,org.apache.commons.math3.analysis.interpolation.BicubicSplineFunction$3,math
0.1,1.0,15.0,0.04,0.94,1.0,org.apache.commons.math3.analysis.interpolation.BicubicSplineFunction$4,math
0.1,1.0,15.0,0.04,0.94,1.0,org.apache.commons.math3.analysis.interpolation.BicubicSplineFunction$5,math
0.1,1.0,15.0,0.04,0.94,1.0,org.apache.commons.math3.analysis.interpolation.BicubicSplineInterpolatingFunction,math
0.1,1.0,15.0,0.04,0.94,1.0,org.apache.commons.math3.analysis.interpolation.BicubicSplineInterpolator,math
0.1,1.0,15.0,0.04,0.94,1.0,org.apache.commons.math3.analysis.interpolation.DividedDifferenceInterpolator,math
0.1,1.0,15.0,0.04,0.94,1.0,org.apache.commons.math3.analysis.interpolation.FieldHermiteInterpolator,math
0.1,1.0,15.0,0.04,0.94,1.0,org.apache.commons.math3.analysis.interpolation.HermiteInterpolator,math
0.1,1.0,15.0,0.04,0.94,1.0,org.apache.commons.math3.analysis.interpolation.LinearInterpolator,math
0.1,1.0,15.0,0.04,0.94,1.0,org.apache.commons.math3.analysis.interpolation.LoessInterpolator,math
0.1,1.0,15.0,0.04,0.94,1.0,org.apache.commons.math3.analysis.interpolation.MicrosphereInterpolatingFunction,math
0.1,1.0,15.0,0.04,0.94,1.0,org.apache.commons.math3.analysis.interpolation.MicrosphereInterpolatingFunction$MicrosphereSurfaceElement,math
0.1,1.0,15.0,0.04,0.94,1.0,org.apache.commons.math3.analysis.interpolation.MicrosphereInterpolator,math
0.1,1.0,15.0,0.04,0.94,1.0,org.apache.commons.math3.analysis.interpolation.NevilleInterpolator,math
0.1,1.0,15.0,0.04,0.94,1.0,org.apache.commons.math3.analysis.interpolation.PiecewiseBicubicSplineInterpolatingFunction,math
0.1,1.0,15.0,0.04,0.94,1.0,org.apache.commons.math3.analysis.interpolation.PiecewiseBicubicSplineInterpolator,math
0.1,1.0,15.0,0.04,0.94,1.0,org.apache.commons.math3.analysis.interpolation.SmoothingPolynomialBicubicSplineInterpolator,math
0.1,1.0,15.0,0.04,0.94,1.0,org.apache.commons.math3.analysis.interpolation.SplineInterpolator,math
0.1,1.0,15.0,0.04,0.94,1.0,org.apache.commons.math3.analysis.interpolation.TricubicFunction,math
0.1,1.0,15.0,0.04,0.94,1.0,org.apache.commons.math3.analysis.interpolation.TricubicInterpolatingFunction,math
0.1,1.0,15.0,0.04,0.94,1.0,org.apache.commons.math3.analysis.interpolation.TricubicInterpolator,math
0.1,1.0,15.0,0.04,0.94,1.0,org.apache.commons.math3.analysis.interpolation.TricubicInterpolator$1,math
0.1,1.0,15.0,0.04,0.94,1.0,org.apache.commons.math3.analysis.interpolation.TricubicSplineFunction,math
0.1,1.0,15.0,0.04,0.94,1.0,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolatingFunction,math
0.1,1.0,15.0,0.04,0.94,1.0,org.apache.commons.math3.analysis.interpolation.TricubicSplineInterpolator,math
0.1,1.0,15.0,0.04,0.94,1.0,org.apache.commons.math3.analysis.interpolation.UnivariatePeriodicInterpolator,math
0.1,1.0,15.0,0.04,0.94,1.0,org.apache.commons.math3.analysis.interpolation.UnivariatePeriodicInterpolator$1,math
0.08,4.0,9.0,0.23,0.69,1.0,org.apache.commons.math3.analysis.polynomials.PolynomialsUtils$RecurrenceCoefficientsGenerator,math
0.08,4.0,9.0,0.23,0.69,1.0,org.apache.commons.math3.analysis.polynomials.PolynomialFunction,math
0.08,4.0,9.0,0.23,0.69,1.0,org.apache.commons.math3.analysis.polynomials.PolynomialFunction$Parametric,math
0.08,4.0,9.0,0.23,0.69,1.0,org.apache.commons.math3.analysis.polynomials.PolynomialFunctionLagrangeForm,math
0.08,4.0,9.0,0.23,0.69,1.0,org.apache.commons.math3.analysis.polynomials.PolynomialFunctionNewtonForm,math
0.08,4.0,9.0,0.23,0.69,1.0,org.apache.commons.math3.analysis.polynomials.PolynomialSplineFunction,math
0.08,4.0,9.0,0.23,0.69,1.0,org.apache.commons.math3.analysis.polynomials.PolynomialsUtils,math
0.08,4.0,9.0,0.23,0.69,1.0,org.apache.commons.math3.analysis.polynomials.PolynomialsUtils$1,math
0.08,4.0,9.0,0.23,0.69,1.0,org.apache.commons.math3.analysis.polynomials.PolynomialsUtils$2,math
0.08,4.0,9.0,0.23,0.69,1.0,org.apache.commons.math3.analysis.polynomials.PolynomialsUtils$3,math
0.08,4.0,9.0,0.23,0.69,1.0,org.apache.commons.math3.analysis.polynomials.PolynomialsUtils$4,math
0.08,4.0,9.0,0.23,0.69,1.0,org.apache.commons.math3.analysis.polynomials.PolynomialsUtils$5,math
0.08,4.0,9.0,0.23,0.69,1.0,org.apache.commons.math3.analysis.polynomials.PolynomialsUtils$JacobiKey,math
0.38,8.0,8.0,0.12,0.5,1.0,org.apache.commons.math3.analysis.solvers.AbstractDifferentiableUnivariateSolver,math
0.38,8.0,8.0,0.12,0.5,1.0,org.apache.commons.math3.analysis.solvers.AbstractPolynomialSolver,math
0.38,8.0,8.0,0.12,0.5,1.0,org.apache.commons.math3.analysis.solvers.AbstractUnivariateDifferentiableSolver,math
0.38,8.0,8.0,0.12,0.5,1.0,org.apache.commons.math3.analysis.solvers.AbstractUnivariateSolver,math
0.38,8.0,8.0,0.12,0.5,1.0,org.apache.commons.math3.analysis.solvers.BaseAbstractUnivariateSolver,math
0.38,8.0,8.0,0.12,0.5,1.0,org.apache.commons.math3.analysis.solvers.BaseSecantSolver,math
0.38,8.0,8.0,0.12,0.5,1.0,org.apache.commons.math3.analysis.solvers.BaseUnivariateSolver,math
0.38,8.0,8.0,0.12,0.5,1.0,org.apache.commons.math3.analysis.solvers.BracketedUnivariateSolver,math
0.38,8.0,8.0,0.12,0.5,1.0,org.apache.commons.math3.analysis.solvers.DifferentiableUnivariateSolver,math
0.38,8.0,8.0,0.12,0.5,1.0,org.apache.commons.math3.analysis.solvers.PolynomialSolver,math
0.38,8.0,8.0,0.12,0.5,1.0,org.apache.commons.math3.analysis.solvers.UnivariateDifferentiableSolver,math
0.38,8.0,8.0,0.12,0.5,1.0,org.apache.commons.math3.analysis.solvers.UnivariateSolver,math
0.38,8.0,8.0,0.12,0.5,1.0,org.apache.commons.math3.analysis.solvers.AllowedSolution,math
0.38,8.0,8.0,0.12,0.5,1.0,org.apache.commons.math3.analysis.solvers.BaseSecantSolver$1,math
0.38,8.0,8.0,0.12,0.5,1.0,org.apache.commons.math3.analysis.solvers.BaseSecantSolver$Method,math
0.38,8.0,8.0,0.12,0.5,1.0,org.apache.commons.math3.analysis.solvers.BisectionSolver,math
0.38,8.0,8.0,0.12,0.5,1.0,org.apache.commons.math3.analysis.solvers.BracketingNthOrderBrentSolver,math
0.38,8.0,8.0,0.12,0.5,1.0,org.apache.commons.math3.analysis.solvers.BracketingNthOrderBrentSolver$1,math
0.38,8.0,8.0,0.12,0.5,1.0,org.apache.commons.math3.analysis.solvers.BrentSolver,math
0.38,8.0,8.0,0.12,0.5,1.0,org.apache.commons.math3.analysis.solvers.IllinoisSolver,math
0.38,8.0,8.0,0.12,0.5,1.0,org.apache.commons.math3.analysis.solvers.LaguerreSolver,math
0.38,8.0,8.0,0.12,0.5,1.0,org.apache.commons.math3.analysis.solvers.LaguerreSolver$1,math
0.38,8.0,8.0,0.12,0.5,1.0,org.apache.commons.math3.analysis.solvers.LaguerreSolver$ComplexSolver,math
0.38,8.0,8.0,0.12,0.5,1.0,org.apache.commons.math3.analysis.solvers.MullerSolver,math
0.38,8.0,8.0,0.12,0.5,1.0,org.apache.commons.math3.analysis.solvers.MullerSolver2,math
0.38,8.0,8.0,0.12,0.5,1.0,org.apache.commons.math3.analysis.solvers.NewtonRaphsonSolver,math
0.38,8.0,8.0,0.12,0.5,1.0,org.apache.commons.math3.analysis.solvers.NewtonSolver,math
0.38,8.0,8.0,0.12,0.5,1.0,org.apache.commons.math3.analysis.solvers.PegasusSolver,math
0.38,8.0,8.0,0.12,0.5,1.0,org.apache.commons.math3.analysis.solvers.RegulaFalsiSolver,math
0.38,8.0,8.0,0.12,0.5,1.0,org.apache.commons.math3.analysis.solvers.RiddersSolver,math
0.38,8.0,8.0,0.12,0.5,1.0,org.apache.commons.math3.analysis.solvers.SecantSolver,math
0.38,8.0,8.0,0.12,0.5,1.0,org.apache.commons.math3.analysis.solvers.UnivariateSolverUtils,math
0.0,3.0,8.0,0.27,0.73,1.0,org.apache.commons.math3.complex.Complex,math
0.0,3.0,8.0,0.27,0.73,1.0,org.apache.commons.math3.complex.ComplexField,math
0.0,3.0,8.0,0.27,0.73,1.0,org.apache.commons.math3.complex.ComplexField$1,math
0.0,3.0,8.0,0.27,0.73,1.0,org.apache.commons.math3.complex.ComplexField$LazyHolder,math
0.0,3.0,8.0,0.27,0.73,1.0,org.apache.commons.math3.complex.ComplexFormat,math
0.0,3.0,8.0,0.27,0.73,1.0,org.apache.commons.math3.complex.ComplexUtils,math
0.0,3.0,8.0,0.27,0.73,1.0,org.apache.commons.math3.complex.Quaternion,math
0.0,3.0,8.0,0.27,0.73,1.0,org.apache.commons.math3.complex.RootsOfUnity,math
0.1,0.0,6.0,0.1,1.0,1.0,org.apache.commons.math3.dfp.UnivariateDfpFunction,math
0.1,0.0,6.0,0.1,1.0,1.0,org.apache.commons.math3.dfp.BracketingNthOrderBrentSolverDFP,math
0.1,0.0,6.0,0.1,1.0,1.0,org.apache.commons.math3.dfp.BracketingNthOrderBrentSolverDFP$1,math
0.1,0.0,6.0,0.1,1.0,1.0,org.apache.commons.math3.dfp.Dfp,math
0.1,0.0,6.0,0.1,1.0,1.0,org.apache.commons.math3.dfp.Dfp$1,math
0.1,0.0,6.0,0.1,1.0,1.0,org.apache.commons.math3.dfp.DfpDec,math
0.1,0.0,6.0,0.1,1.0,1.0,org.apache.commons.math3.dfp.DfpDec$1,math
0.1,0.0,6.0,0.1,1.0,1.0,org.apache.commons.math3.dfp.DfpField,math
0.1,0.0,6.0,0.1,1.0,1.0,org.apache.commons.math3.dfp.DfpField$RoundingMode,math
0.1,0.0,6.0,0.1,1.0,1.0,org.apache.commons.math3.dfp.DfpMath,math
0.15,8.0,14.0,0.22,0.64,1.0,org.apache.commons.math3.distribution.AbstractIntegerDistribution,math
0.15,8.0,14.0,0.22,0.64,1.0,org.apache.commons.math3.distribution.AbstractMultivariateRealDistribution,math
0.15,8.0,14.0,0.22,0.64,1.0,org.apache.commons.math3.distribution.AbstractRealDistribution,math
0.15,8.0,14.0,0.22,0.64,1.0,org.apache.commons.math3.distribution.IntegerDistribution,math
0.15,8.0,14.0,0.22,0.64,1.0,org.apache.commons.math3.distribution.MultivariateRealDistribution,math
0.15,8.0,14.0,0.22,0.64,1.0,org.apache.commons.math3.distribution.RealDistribution,math
0.15,8.0,14.0,0.22,0.64,1.0,org.apache.commons.math3.distribution.AbstractRealDistribution$1,math
0.15,8.0,14.0,0.22,0.64,1.0,org.apache.commons.math3.distribution.BetaDistribution,math
0.15,8.0,14.0,0.22,0.64,1.0,org.apache.commons.math3.distribution.BinomialDistribution,math
0.15,8.0,14.0,0.22,0.64,1.0,org.apache.commons.math3.distribution.CauchyDistribution,math
0.15,8.0,14.0,0.22,0.64,1.0,org.apache.commons.math3.distribution.ChiSquaredDistribution,math
0.15,8.0,14.0,0.22,0.64,1.0,org.apache.commons.math3.distribution.ConstantRealDistribution,math
0.15,8.0,14.0,0.22,0.64,1.0,org.apache.commons.math3.distribution.EnumeratedDistribution,math
0.15,8.0,14.0,0.22,0.64,1.0,org.apache.commons.math3.distribution.EnumeratedIntegerDistribution,math
0.15,8.0,14.0,0.22,0.64,1.0,org.apache.commons.math3.distribution.EnumeratedRealDistribution,math
0.15,8.0,14.0,0.22,0.64,1.0,org.apache.commons.math3.distribution.ExponentialDistribution,math
0.15,8.0,14.0,0.22,0.64,1.0,org.apache.commons.math3.distribution.FDistribution,math
0.15,8.0,14.0,0.22,0.64,1.0,org.apache.commons.math3.distribution.GammaDistribution,math
0.15,8.0,14.0,0.22,0.64,1.0,org.apache.commons.math3.distribution.GeometricDistribution,math
0.15,8.0,14.0,0.22,0.64,1.0,org.apache.commons.math3.distribution.GumbelDistribution,math
0.15,8.0,14.0,0.22,0.64,1.0,org.apache.commons.math3.distribution.HypergeometricDistribution,math
0.15,8.0,14.0,0.22,0.64,1.0,org.apache.commons.math3.distribution.KolmogorovSmirnovDistribution,math
0.15,8.0,14.0,0.22,0.64,1.0,org.apache.commons.math3.distribution.LaplaceDistribution,math
0.15,8.0,14.0,0.22,0.64,1.0,org.apache.commons.math3.distribution.LevyDistribution,math
0.15,8.0,14.0,0.22,0.64,1.0,org.apache.commons.math3.distribution.LogNormalDistribution,math
